datetime,ticker,price,signal,pnl
2023-02-01-08:50,AAPL,144.08,1,0.1
2023-02-01-08:55,AAPL,144.08,1,0.0
2023-02-01-09:00,AAPL,143.96,1,-0.12
2023-02-01-09:05,AAPL,144.03,1,0.07
2023-02-01-09:10,AAPL,144.04,1,0.01
2023-02-01-09:15,AAPL,144.01,1,-0.03
2023-02-01-09:20,AAPL,144.09,1,0.08
2023-02-01-09:25,AAPL,144.07,1,-0.02
2023-02-01-09:30,AAPL,143.65,1,-0.42
2023-02-01-09:35,AAPL,142.66,1,-0.99
2023-02-01-09:40,AAPL,142.69,-1,0.02
2023-02-01-09:45,AAPL,142.72,-1,-0.04
2023-02-01-09:50,AAPL,142.41,-1,0.31
2023-02-01-09:55,AAPL,142.77,-1,-0.36
2023-02-01-10:00,AAPL,142.97,-1,-0.2
2023-02-01-10:05,AAPL,142.87,-1,0.1
2023-02-01-10:10,AAPL,142.76,-1,0.11
2023-02-01-10:15,AAPL,143.11,-1,-0.35
2023-02-01-10:20,AAPL,142.87,-1,0.23
2023-02-01-10:25,AAPL,142.84,-1,0.03
2023-02-01-10:30,AAPL,142.74,-1,0.1
2023-02-01-10:35,AAPL,142.86,-1,-0.12
2023-02-01-10:40,AAPL,142.7,-1,0.16
2023-02-01-10:45,AAPL,142.57,-1,0.12
2023-02-01-10:50,AAPL,142.42,-1,0.15
2023-02-01-10:55,AAPL,142.36,-1,0.06
2023-02-01-11:00,AAPL,142.37,-1,-0.01
2023-02-01-11:05,AAPL,142.38,-1,-0.0
2023-02-01-11:10,AAPL,142.45,-1,-0.07
2023-02-01-11:15,AAPL,142.65,-1,-0.2
2023-02-01-11:20,AAPL,142.58,-1,0.07
2023-02-01-11:25,AAPL,142.6,-1,-0.02
2023-02-01-11:30,AAPL,142.69,-1,-0.09
2023-02-01-11:35,AAPL,142.73,-1,-0.04
2023-02-01-11:40,AAPL,142.71,-1,0.02
2023-02-01-11:45,AAPL,142.65,-1,0.07
2023-02-01-11:50,AAPL,142.55,-1,0.09
2023-02-01-11:55,AAPL,142.21,-1,0.35
2023-02-01-12:00,AAPL,142.12,-1,0.08
2023-02-01-12:05,AAPL,141.96,-1,0.16
2023-02-01-12:10,AAPL,141.72,-1,0.24
2023-02-01-12:15,AAPL,141.7,-1,0.02
2023-02-01-12:20,AAPL,141.61,-1,0.08
2023-02-01-12:25,AAPL,141.67,-1,-0.05
2023-02-01-12:30,AAPL,141.74,-1,-0.07
2023-02-01-12:35,AAPL,141.81,-1,-0.07
2023-02-01-12:40,AAPL,141.88,-1,-0.06
2023-02-01-12:45,AAPL,142.02,-1,-0.15
2023-02-01-12:50,AAPL,141.94,-1,0.08
2023-02-01-12:55,AAPL,141.97,-1,-0.03
2023-02-01-13:00,AAPL,141.97,-1,-0.0
2023-02-01-13:05,AAPL,141.88,-1,0.09
2023-02-01-13:10,AAPL,141.95,-1,-0.07
2023-02-01-13:15,AAPL,141.82,-1,0.14
2023-02-01-13:20,AAPL,141.72,-1,0.09
2023-02-01-13:25,AAPL,141.69,-1,0.03
2023-02-01-13:30,AAPL,141.79,-1,-0.1
2023-02-01-13:35,AAPL,142.16,-1,-0.37
2023-02-01-13:40,AAPL,142.1,-1,0.06
2023-02-01-13:45,AAPL,142.15,-1,-0.05
2023-02-01-13:50,AAPL,141.98,-1,0.17
2023-02-01-13:55,AAPL,142.04,-1,-0.06
2023-02-01-14:00,AAPL,142.26,-1,-0.22
2023-02-01-14:05,AAPL,141.85,-1,0.41
2023-02-01-14:10,AAPL,142.62,-1,-0.77
2023-02-01-14:15,AAPL,142.68,-1,-0.06
2023-02-01-14:20,AAPL,142.37,-1,0.31
2023-02-01-14:25,AAPL,142.32,-1,0.05
2023-02-01-14:30,AAPL,142.17,-1,0.15
2023-02-01-14:35,AAPL,141.69,-1,0.48
2023-02-01-14:40,AAPL,143.3,-1,-1.61
2023-02-01-14:45,AAPL,144.17,-1,-0.87
2023-02-01-14:50,AAPL,144.42,1,-0.25
2023-02-01-14:55,AAPL,144.32,1,-0.1
2023-02-01-15:00,AAPL,144.14,1,-0.18
2023-02-01-15:05,AAPL,144.66,1,0.52
2023-02-01-15:10,AAPL,145.32,1,0.66
2023-02-01-15:15,AAPL,144.81,1,-0.51
2023-02-01-15:20,AAPL,144.97,1,0.16
2023-02-01-15:25,AAPL,144.89,1,-0.08
2023-02-01-15:30,AAPL,145.31,1,0.42
2023-02-01-15:35,AAPL,145.48,1,0.17
2023-02-01-15:40,AAPL,146.16,1,0.68
2023-02-01-15:45,AAPL,145.9,1,-0.26
2023-02-01-15:50,AAPL,145.57,1,-0.33
2023-02-01-15:55,AAPL,145.28,1,-0.29
2023-02-01-16:00,AAPL,145.24,1,-0.04
2023-02-01-16:05,AAPL,144.99,1,-0.25
2023-02-01-16:10,AAPL,145.69,1,0.7
2023-02-01-16:15,AAPL,145.57,1,-0.12
2023-02-01-16:20,AAPL,145.53,1,-0.04
2023-02-01-16:25,AAPL,145.47,1,-0.06
2023-02-01-16:30,AAPL,145.18,1,-0.29
2023-02-01-16:35,AAPL,145.21,1,0.03
2023-02-01-16:40,AAPL,145.46,1,0.25
2023-02-01-16:45,AAPL,145.57,1,0.11
2023-02-01-16:50,AAPL,145.44,1,-0.13
2023-02-01-16:55,AAPL,145.56,1,0.12
